TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
ATL,5,4,1,0.8,49,113.4,42.8,93.8,45.6,11.8,32,36.9,16,22.4,71.4,15,36.8,51.8,29,17.6,7.6,5.2,5.2,25,22.6,1.6
BOS,5,3,2,0.6,49,114.4,40.2,89.2,45.1,13,36.2,35.9,21,26,80.8,9.2,33,42.2,26,11.2,9.6,3.6,4.2,21,22.4,1
BKN,5,2,3,0.4,50,110.6,39,84.6,46.1,12.8,33.4,38.3,19.8,28,70.7,9.8,37.2,47,25.4,17,6,5.4,5.8,20.2,23.4,-5
CHA,5,2,3,0.4,50,111.8,41.2,91.8,44.9,11.8,30.2,39.1,17.6,23.6,74.6,10.8,33.8,44.6,22,13.6,7.4,5,6.4,22.2,21.6,0.6
CHI,5,3,2,0.6,48,97.2,37,81.4,45.5,7.4,20.8,35.6,15.8,20.4,77.5,8.4,37.2,45.6,21.4,12.6,6.8,4.4,4.4,19,18,1.6
CLE,5,0,5,0,48,98.2,36.2,85,42.6,8.6,27.2,31.6,17.2,22,78.2,11.4,30.8,42.2,19.6,13.4,6.6,2.4,5.2,20.4,20.8,-14.2
DAL,5,2,3,0.4,49,114.6,39.6,87,45.5,13.4,35.8,37.4,22,29.8,73.8,9.4,36.4,45.8,22.6,15.2,5.6,5.4,4.2,20,25.4,-0.8
DEN,5,3,2,0.6,48,112.8,41.4,87.6,47.3,13.4,32.8,40.9,16.6,21.8,76.1,12.6,32.2,44.8,28.6,16,8.4,3.6,3.6,20.2,19.4,-2.8
DET,5,1,4,0.2,48,96.4,35.2,85.6,41.1,9.8,33.4,29.3,16.2,20.6,78.6,12.2,32.4,44.6,22.6,18.2,7,5.2,5.4,22,21.2,-8.6
GSW,5,3,2,0.6,49,114.8,42,94,44.7,12.6,37.6,33.5,18.2,23.2,78.4,11.2,36.4,47.6,29.4,12.2,8,5.6,3,21.6,18.8,-2.2
HOU,5,4,1,0.8,48,111,37.2,88.2,42.2,17,48.6,35,19.6,26.2,74.8,13.6,35.8,49.4,19.6,12.4,6.4,4.2,6.4,21.6,20.4,5.4
IND,5,4,1,0.8,48,113.8,44.8,86,52.1,9.4,24.4,38.5,14.8,19.8,74.7,9.6,33.8,43.4,27,16.4,10.4,5.8,5,21.2,21.2,13.2
LAC,5,3,2,0.6,48,123,44,88.2,49.9,11,22,50,24,28.2,85.1,9.2,39,48.2,23.4,16.4,6.8,3.6,5.8,24.4,22.2,5.6
LAL,5,2,3,0.4,48,114,42.4,86.6,49,11.8,32.4,36.4,17.4,25.4,68.5,8.2,39,47.2,26.4,15.4,6,4.8,4.4,18.8,22.6,2.6
MEM,5,2,3,0.4,48,99.2,36.8,79.2,46.5,10.2,26.6,38.3,15.4,19.2,80.2,7.8,30.8,38.6,23.2,14.8,9.2,7.2,4.4,20.8,19.8,-0.6
MIA,5,3,2,0.6,48,107,41,87.6,46.8,11.2,29.4,38.1,13.8,19.6,70.4,10.6,35,45.6,25,12.6,9.2,4.6,5.6,22,18.2,8.8
MIL,5,4,1,0.8,48,111.4,40.2,88.4,45.5,12.6,39.6,31.8,18.4,24.2,76,7.8,42.2,50,23.6,14.2,5.6,7.8,3.6,20.8,19.2,10
MIN,5,3,2,0.6,49,112.8,40.4,90.2,44.8,10,27.2,36.8,22,30.2,72.8,12,33.4,45.4,24.4,13.2,9.8,6,6,21,26.2,1.4
NOP,5,1,4,0.2,48,111.6,43,94.8,45.4,7.8,26.2,29.8,17.8,23.6,75.4,12.2,36.6,48.8,25,12.4,6.4,5.2,6.8,26.2,21,-3.6
NYK,5,0,5,0,48,100.8,36.2,90,40.2,10.8,30,36,17.6,22.8,77.2,8.2,32.8,41,19.4,12,6.4,3,6,21,20,-18.2
