TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
OKC,5,2,3,0.4,48,109.8,43.8,93,47.1,8.6,27.6,31.2,13.6,19.8,68.7,10.6,36.6,47.2,19.6,14.8,10.8,6.4,4.6,21.2,20.8,1.8
ORL,5,2,3,0.4,49,103.2,37,86,43,9.6,29.4,32.7,19.6,24.8,79,11.2,35.6,46.8,21,14.6,5.8,4.8,6,19.8,21.6,-1
PHI,5,3,2,0.6,49,116,41.6,89.4,46.5,11.8,34.4,34.3,21,26.8,78.4,8,40.6,48.6,27.6,13.2,8.8,4.8,2.2,21.2,21,4.6
PHX,5,1,4,0.2,52,118.2,46.8,96,48.8,9.4,26.8,35.1,15.2,19.2,79.2,11.8,29.6,41.4,25.4,15.2,12,6.6,3.6,22.6,18.4,-5.8
POR,5,3,2,0.6,50,112.2,42,94.4,44.5,10.8,30.8,35.1,17.4,22.6,77,9.4,41.4,50.8,23,14.2,5.4,3.8,5.4,20.6,19.4,1.4
SAC,5,3,2,0.6,48,114.6,43,97.6,44.1,12.4,33,37.6,16.2,22,73.6,12.2,33.4,45.6,25.2,12.2,9,5.8,6.6,20,22,-1.4
SAS,5,3,2,0.6,48,111.4,42.8,88.2,48.5,10.6,27.8,38.1,15.2,20.4,74.5,8.6,37.4,46,27.8,12.2,8,4.6,3.4,20,19.8,7
TOR,5,3,2,0.6,48,103,36.8,90.4,40.7,10.6,33.6,31.5,18.8,22.4,83.9,12.4,31.8,44.2,18.4,12.6,6.2,5.4,5.6,19.8,19.4,-6
UTA,5,3,2,0.6,48,113.8,43.8,88,49.8,13.4,33,40.6,12.8,19.8,64.6,10.4,37.4,47.8,27.8,15.6,9,5.4,4.4,21,19.4,13
WAS,5,2,3,0.4,51,111,40.8,89.6,45.5,10.6,34.2,31,18.8,21.6,87,9.2,31.4,40.6,27,17,8.6,4.4,5.4,20.2,24,-5.8
