Time,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
12/15 ~ 12/25,New Orleans Pelicans,2,0,2,0,48,105.5,39,89,43.8,16,39,41,11.5,16,71.9,9,30.5,39.5,27,13,9,6,3.5,22,19.5,-7,107.1,114.8,-7.7,69.2,2.08,19.7,25.5,61.4,43.3,13.2,52.8,54.9,98.25,47
12/15 ~ 12/25,New York Knicks,3,0,3,0,48,106,38,91.3,41.6,9.7,32.7,29.6,20.3,27.3,74.4,11,32,43,19.3,12,4.7,1,4.3,19.7,20,-17,106,122.2,-16.2,50.9,1.61,14.3,28.8,74.5,49.2,12,46.9,51.3,100.33,37.6
12/15 ~ 12/25,Oklahoma City Thunder,3,3,0,1,48,121,45.3,93.7,48.4,10,25,40,20.3,28,72.6,14.7,37,51.7,25.7,16.7,11.7,5,5.3,21.7,23.7,16.7,112.7,96.9,15.8,56.6,1.54,17.1,32.7,78.4,54.9,15.5,53.7,57.1,107.5,59.2
12/15 ~ 12/25,Orlando Magic,2,1,1,0.5,48,93,34,80.5,42.2,11.5,27.5,41.8,13.5,18.5,73,7.5,33,40.5,18.5,17.5,6,6.5,4,22.5,17,-16,95.4,113,-17.6,54.4,1.06,14.6,24.2,80.9,51.1,17.9,49.4,52.5,97,37.9
12/15 ~ 12/25,Philadelphia 76ers,3,2,1,0.667,48,118.3,46,92.3,49.8,12.3,31.3,39.4,14,17.3,80.8,11,35.7,46.7,30.7,10.7,4.7,6,3.7,18.3,17.7,6,121.6,113.9,7.7,66.7,2.88,21.7,28.5,79.4,53.7,11,56.5,59.2,98,53.2
12/15 ~ 12/25,Phoenix Suns,3,3,0,1,48,115.3,43.3,92.7,46.8,9.7,27.3,35.4,19,23,82.6,12,38.3,50.3,26.7,13.3,7.3,6,6.3,20.3,19,11.3,114.6,104.3,10.2,61.5,2,18.4,35.5,72.4,55,13.2,52,56.1,100.17,56.5
12/15 ~ 12/25,Portland Trail Blazers,2,2,0,1,48,115,41,80.5,50.9,10.5,23,45.7,22.5,25.5,88.2,9,29,38,21,16,7,4,5.5,27.5,22,5.5,118.6,114.1,4.5,51.2,1.31,16,32.1,73,53.5,16.5,57.5,62.7,96.5,49.3
12/15 ~ 12/25,Sacramento Kings,3,1,2,0.333,48,112.7,41,93.7,43.8,12,34.3,35,18.7,25.7,72.7,9,33.7,42.7,22.7,12.3,6,5.3,6,23.7,22,-13,103.7,115.3,-11.6,55.3,1.84,16,18.1,66.7,42,11.3,50.2,53.7,108.83,41.5
12/15 ~ 12/25,San Antonio Spurs,3,2,1,0.667,48,115,43.7,79,55.3,9.3,21,44.4,18.3,21.3,85.9,5,38.7,43.7,25,11,4.3,6,5.3,15.7,17.7,20.3,121.9,100.4,21.6,57.3,2.27,19.8,19.4,70.4,50.5,11.7,61.2,65.1,94.33,63.3
12/15 ~ 12/25,Toronto Raptors,2,1,1,0.5,48,92.5,36.5,90.5,40.3,7,32.5,21.5,12.5,17.5,71.4,12,35,47,16.5,10.5,10,6.5,5.5,17.5,17.5,-3,97.4,102.1,-4.8,45.2,1.57,12.8,31.3,75.3,51.7,11.1,44.2,47.1,94.25,47.7
12/15 ~ 12/25,Utah Jazz,3,1,2,0.333,48,98,32.3,88,36.7,11,35.3,31.1,22.3,27,82.7,10.7,38,48.7,23.3,16.7,9.7,4.7,8.7,20,24,-2.3,95.5,97.1,-1.6,72.2,1.4,16.5,26.9,79.6,51.7,16.2,43,49.1,103,50.1
12/15 ~ 12/25,Washington Wizards,3,1,2,0.333,48,118.7,45,91,49.5,12,33.7,35.6,16.7,23,72.5,9.3,30.3,39.7,28,14.3,12,2.7,4.3,20,21,-2.7,111.3,114.1,-2.9,62.2,1.95,19.2,23.1,73,47.2,13.4,56,58.7,106.5,50.7
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
