Time,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
11/25 ~ 12/5,Washington Wizards,6,4,2,0.667,48.8,113.3,43.2,90.3,47.8,10.8,32,33.9,16.2,21.5,75.2,8.5,32,40.5,26.8,14,8.8,4.7,4.7,23.3,21,-1.8,108.3,109.7,-1.4,62.2,1.92,18.9,21.7,64.8,44.2,13.4,53.8,56.8,103.04,50.1
11/25 ~ 12/5,Atlanta Hawks,4,1,3,0.25,48,109.5,40,91,44,13.5,37.8,35.8,16,23.3,68.8,12.3,33.3,45.5,27.3,20,9.8,5.5,5.5,24.8,19.3,-8.5,102.8,110,-7.2,68.1,1.36,18.2,29.6,69.3,48.9,18.8,51.4,54.1,106.88,43.8
12/5 ~ 12/15,Boston Celtics,6,5,1,0.833,48.8,122.8,45.8,94.7,48.4,14.3,38.3,37.4,16.8,20.3,82.8,12.2,36.5,48.7,26,13.5,9.7,5,4,20.7,21,19,118.7,100.5,18.2,56.7,1.93,17.8,32.2,75.2,53.8,13,56,59.3,101.65,59.3
12/5 ~ 12/15,Brooklyn Nets,5,4,1,0.8,49,116.4,41,86,47.7,12.4,30.4,40.8,22,28.4,77.5,10.8,35.6,46.4,24.8,15.6,7,3,4.2,23.4,22.8,3.4,113.2,110.6,2.7,60.5,1.59,17.6,28.2,75.9,52.8,15.2,54.9,59.1,100.41,51.3
12/5 ~ 12/15,Charlotte Hornets,6,3,3,0.5,48.8,111.3,39.5,91.7,43.1,12.2,34.5,35.3,20.2,24.2,83.4,9.3,34.2,43.5,24.5,12.2,7.2,5,8.2,18.5,21.7,-4.7,108.3,112.8,-4.5,62,2.01,17.5,25.2,71.3,47.7,11.8,49.7,54.4,101.08,47.3
12/5 ~ 12/15,Chicago Bulls,5,2,3,0.4,48,93.8,35.8,79.2,45.2,8.4,24.8,33.9,13.8,18.2,75.8,5.8,32,37.8,18.2,18.4,10,4.6,5,20.6,17,-14.8,95.7,110.8,-15.1,50.8,0.99,14.6,20.6,69.5,45.9,18.8,50.5,53.8,98,41.1
12/5 ~ 12/15,Cleveland Cavaliers,6,2,4,0.333,48,106.3,40.5,88.8,45.6,11.5,31.5,36.5,13.8,18.2,76.1,10.7,34.7,45.3,21.7,12.5,5.8,2.5,5,18.8,17.7,-8.2,108.9,118,-9.2,53.5,1.73,16.3,27.3,72.8,49.9,12.8,52.1,54.9,97.33,45.7
12/5 ~ 12/15,Dallas Mavericks,5,3,2,0.6,48,103.4,36.2,81.8,44.3,10.6,35.6,29.8,20.4,27.6,73.9,10.4,35.6,46,22.2,17.2,8.6,4,3.6,15.4,21.8,-0.2,104.2,104.2,0,61.3,1.29,16.4,29.7,73.8,52.7,17.3,50.7,55,99.3,52
12/5 ~ 12/15,Denver Nuggets,5,3,2,0.6,49,108.6,40.2,88,45.7,9.6,30.4,31.6,18.6,24.4,76.2,11.6,35.2,46.8,27.4,13.6,8.2,6,6.4,20.8,20.4,1.8,109.9,108.3,1.6,68.2,2.01,19.4,31,72.2,51.8,13.8,51.1,55,96.69,52.1
12/5 ~ 12/15,Detroit Pistons,6,1,5,0.167,48,105.5,39.2,88.7,44.2,9.5,30,31.7,17.7,26.2,67.5,12.7,35.7,48.3,23.3,16.2,7.2,5.2,6.3,23.8,21.5,-7.2,103.8,110.3,-6.5,59.6,1.44,16.6,30.1,74.6,51.9,15.9,49.5,52.7,101.92,45.1
12/5 ~ 12/15,Golden State Warriors,5,4,1,0.8,48,114.6,41.4,89,46.5,15.4,37.8,40.7,16.4,20.2,81.2,9.8,37.8,47.6,29.2,16.2,5.8,5.4,3.4,20.8,20.6,5.4,110.6,105,5.6,70.5,1.8,20.2,24.5,76.4,51.4,15.6,55.2,58.5,103.8,53.2
12/5 ~ 12/15,Houston Rockets,5,3,2,0.6,48,107.4,38.4,83.4,46,12,36.6,32.8,18.6,22.8,81.6,11.4,28.6,40,20.4,14,6.4,3.4,4.4,22.4,19.6,0,114,114.7,-0.7,53.1,1.46,15.8,31.4,68.6,49.3,14.9,53.2,57.5,93.9,47.4
12/5 ~ 12/15,Indiana Pacers,5,5,0,1,48,110.8,42,89.4,47,9.4,25.2,37.3,17.4,21.2,82.1,11.6,39.6,51.2,29,14.8,7.2,5.8,5.8,18.8,20,13.6,110.6,97.6,13,69,1.96,20.1,30.9,75.5,54.4,14.8,52.2,56.1,99.9,59.6
12/5 ~ 12/15,LA Clippers,6,1,5,0.167,48.8,99.5,34.8,82.2,42.4,8.7,25.7,33.8,21.2,27.3,77.4,10.8,33.8,44.7,20.5,18.7,5.8,4.3,6.7,20.7,23.7,-16.2,97.7,113.6,-15.9,58.9,1.1,15.1,26.5,74.1,50.2,18.3,47.7,52.8,100.1,40.6
12/5 ~ 12/15,Los Angeles Lakers,6,4,2,0.667,48,116.5,44,91.2,48.3,13.2,35.5,37.1,15.3,22.8,67.2,10.7,34.5,45.2,25.5,13.3,9.2,4.7,5.2,19.2,20.5,5.7,114.2,108.8,5.4,58,1.91,18.1,27.7,72.8,50.4,13.1,55.5,57.6,101.92,52.8
12/5 ~ 12/15,Memphis Grizzlies,7,3,4,0.429,48,96.6,36.6,80.9,45.2,7.3,25.7,28.3,16.1,21.9,73.9,8.7,31.4,40.1,21,13.1,9.3,6.4,5.7,21.7,20.9,-2.4,102.7,104.5,-1.8,57.4,1.6,16.7,23.2,68.6,46.2,14,49.7,53.4,94.36,49.1
12/5 ~ 12/15,Miami Heat,5,3,2,0.6,48,105,37.8,86.2,43.9,13.2,36.4,36.3,16.2,22.4,72.3,10,35.4,45.4,26.8,14,8.2,5.6,5.6,20.2,18.8,2.6,106.5,103.9,2.6,70.9,1.91,19.3,26.8,76.5,51.1,14.2,51.5,54.7,98.6,51.2
12/5 ~ 12/15,Milwaukee Bucks,6,4,2,0.667,48,105.5,38.3,90.3,42.4,12.3,39.8,31,16.5,21.2,78,10.5,39.3,49.8,22.5,14.3,8,5,4.3,19,19.8,5,104.3,99.2,5.1,58.7,1.57,16.4,25.4,74,50,14.2,49.3,52.9,101.25,52.2
12/5 ~ 12/15,Minnesota Timberwolves,5,1,4,0.2,48,112.6,43,90.4,47.6,8.4,24.4,34.4,18.2,23.8,76.5,10.4,32,42.4,28.6,13,7.4,6.4,5.6,19.8,20.8,-3.6,110.6,114.1,-3.5,66.5,2.2,19.8,28,69,48.6,12.8,52.2,55.8,101.8,49.6
